id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
69451,69673,124897,5340,Gl 541,Bootes,Arcturus,14.26103,19.18241,11.2575,-1093.45,-1999.4,-5,-0.05,-0.307,K2IIIp,1.239,-8.823448,-5.932531,3.698938,-0.00005905,0.0000322,-0.00010473,3.733529029,0.334796218,-5.3012E-06,-9.69336E-06,Alp,16,Boo,1,69451,,115.5579955,,,
90979,91262,172167,7001,Gl 721,Lyra,Vega,18.61564,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.873563096,0.676903116,9.74572E-07,1.39365E-06,Alp,3,Lyr,1,90979,,49.93441887,,,
24549,24608,34029,1708,Gl 194A,Auriga,Capella,5.27815,45.997991,13.1234,75.52,-427.13,22.2,0.08,-0.51,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816413,0.802816393,3.66131E-07,-2.07078E-06,Alp,13,Aur,1,24549,Gl 194,139.3156803,,,
37173,37279,61421,2943,Gl 280A,Canis Minor,Procyon,7.655033,5.224993,3.5142,-716.57,-1034.58,-4,0.4,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041,0.091193332,-3.47403E-06,-5.01579E-06,Alp,10,CMi,1,37173,Gl 280,7.440463662,,,
27919,27989,39801,2061,,Orion,Betelgeuse,5.919529,7.407063,152.6718,27.33,10.86,21,0.45,-5.469,M2Ib,1.5,3.189296,151.364387,19.682142,-0.0000198,0.00002068,0.00001074,1.549729118,0.129277632,1.325E-07,5.26508E-08,Alp,58,Ori,1,27919,,13415.28798,Alp,0.571,0.281
97338,97649,187642,7557,Gl 768,Aquila,Altair,19.846388,8.868322,5.1295,536.82,385.54,-26.1,0.76,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772106,0.154781417,2.60258E-06,1.86915E-06,Alp,53,Aql,1,97338,,11.37627286,Alp,0.803,0.753
21368,21421,29139,1457,Gl 171.1A,Taurus,Aldebaran,4.598677,16.509301,20.4332,62.78,-189.36,54.5,0.87,-0.682,K5III,1.538,7.02722,18.287604,5.806661,0.00001528,0.00005709,-0.00000214,1.203930811,0.288141666,3.04366E-07,-9.18043E-07,Alp,87,Tau,1,21368,Gl 171.1,163.2300073,Alp,0.888,0.858
37718,37826,62509,2990,Gl 286,Gemini,Pollux,7.755277,28.026199,10.3584,-625.69,-45.95,3.6,1.16,1.084,K0IIIvar,0.991,-4.055465,8.19518,4.867171,0.00002624,0.00001782,-0.00000031,2.030326887,0.489149442,-3.03343E-06,-2.22772E-07,Bet,78,Gem,1,37718,,32.09223768,,,
101767,102098,197345,7924,,Cygnus,Deneb,20.690532,45.280338,432.9004,1.56,1.55,-5,1.25,-6.932,A2Ia,0.092,197.250632,-232.113407,307.600832,-0.00000133,0.00000662,-0.00000134,5.416768542,0.790290983,7.56309E-09,7.51461E-09,Alp,50,Cyg,1,101767,,51617.86055,Alp,1.294,1.224
49528,49669,87901,3982,,Leo,Regulus,10.139532,11.967207,24.3132,-249.4,4.91,6,1.36,-0.569,B7V,-0.087,-21.018857,11.132218,5.041397,0.00000856,0.00002873,0.00000184,2.654523172,0.208867165,-1.20913E-06,2.38044E-08,Alp,32,Leo,1,49528,,147.0957077,,,
36744,36850,60179,2891,Gl 278A,Gemini,Castor,7.576634,31.888276,15.5958,-206.33,-148.18,6,1.58,0.615,A2Vm,0.034,-5.311938,12.130011,8.238737,0.00000983,0.00001645,-0.00000627,1.98355827,0.556555413,-1.00032E-06,-7.18397E-07,Alp,66,Gem,1,36744,Gl 278,49.4310687,,,
25273,25336,35468,1790,,Orion,Bellatrix,5.418851,6.349702,77.3994,-8.75,-13.28,18,1.64,-2.804,B2III,-0.224,11.658576,76.036136,8.56012,0.0000061,0.00001813,-0.00000292,1.418651834,0.11082321,-4.24212E-08,-6.43833E-08,Gam,24,Ori,1,25273,,1152.391377,,,
25364,25428,35497,1791,,Taurus,Alnath,5.438198,28.60745,41.0509,23.28,-174.22,9,1.65,-1.417,B7III,-0.13,5.281578,35.6504,19.655456,-0.00000097,0.00002509,-0.00002603,1.423716809,0.499294192,1.12865E-07,-8.44642E-07,Bet,112,Tau,1,25364,,321.2180934,,,
62757,62956,112185,4905,,Ursa Major,Alioth,12.900472,55.959821,25.31,111.74,-8.99,-9,1.76,-0.256,A0p,-0.022,-13.775959,-3.309169,20.972944,0.00000732,-0.00001234,-0.00000824,3.37733559,0.976683127,5.41731E-07,-4.35847E-08,Eps,77,UMa,1,62757,,110.2554332,Eps,1.776,1.746
15824,15863,20902,1017,,Perseus,Mirphak,3.405378,49.86118,155.2795,24.11,-26.01,-2,1.79,-4.166,F5Ib,0.481,62.885098,77.880689,118.708804,-0.00000555,0.00002202,-0.00001419,0.891526004,0.870241752,1.16889E-07,-1.261E-07,Alp,33,Per,1,15824,,4040.173354,,,
53905,54061,95689,4301,,Ursa Major,Dubhe,11.062155,61.751033,37.679,-136.46,-35.25,-9,1.81,-1.07,F7V comp,1.061,-17.298705,4.33488,33.191332,0.00000478,0.0000245,-0.00001116,2.89606535,1.077758845,-6.61577E-07,-1.70897E-07,Alp,50,UMa,1,53905,,233.3458062,,,
67088,67301,120315,5191,,Ursa Major,Alkaid,13.792354,49.313265,31.8674,-121.23,-15.56,-11,1.85,-0.667,B3V SB,-0.099,-18.529548,-9.394541,24.164506,-0.00000355,0.0000192,-0.0000101,3.610829901,0.860678839,-5.8774E-07,-7.5437E-08,Eta,85,UMa,1,67088,,160.9904076,,,
28288,28360,40183,2088,NN 3375,Auriga,Menkalinan,5.992149,44.947433,24.8694,-56.41,-0.88,-19.4,1.9,-0.078,A2V,0.077,0.036195,17.601288,17.569058,0.00000677,-0.00001398,-0.00001409,1.568740945,0.784480691,-2.73483E-07,-4.26636E-09,Bet,34,Aur,1,28288,,93.58365436,Bet,1.967,1.897
31601,31681,47105,2421,,Gemini,Alhena,6.628528,16.399252,33.5121,-2.04,-66.92,-13,1.93,-0.696,A0IV,0.001,-5.266162,31.714389,9.461403,0.00000191,-0.0000095,-0.00001418,1.735344593,0.286220944,-9.8902E-09,-3.24437E-07,Gam,24,Gem,1,31601,,165.3484012,,,
11734,11767,8890,424,,Ursa Minor,Polaris,2.52975,89.264109,132.626,44.22,-11.74,-17,1.97,-3.643,F7:Ib-IIv SB,0.636,1.3431,1.047629,132.614909,-0.00001171,0.00002692,-0.00001748,0.662287075,1.557952613,2.14385E-07,-5.69171E-08,Alp,1,UMi,1,11734,,2495.743795,Alp,1.993,1.953
50440,50583,89484,4057,,Leo,Algieba,10.332873,19.841489,39.8883,310.77,-152.88,-37,2.01,-0.994,K0III,1.128,-34.002797,15.860719,13.53874,-0.00000224,-0.00006526,-0.00004065,2.705139837,0.346299306,1.50666E-06,-7.41183E-07,Gam-1,41,Leo,1,50440,,217.5704951,,,
9861,9884,12929,617,Gl 84.3,Aries,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.731986,9.751722,8.03361,-0.00001649,0.00001173,-0.00001894,0.554898131,0.409496533,9.24685E-07,-7.06713E-07,Alp,13,Ari,1,9861,,55.66727982,,,
5436,5447,6860,337,Gl 53.3,Andromeda,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,0.00000223,0.00005471,-0.00002725,0.304261793,0.621696012,8.51284E-07,-5.44106E-07,Bet,43,And,1,5436,,474.2419853,,,
