id,hip,hd,hr,gl,bf,proper,ra,deg,dec,dist,pmra,pmdec,rv,mag,opacity,linear,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
24549,24608,34029,1708,Gl 194A,13Alp Aur,Capella,5.27815,79.17225,45.997991,13.1234,75.52,-427.13,22.2,0.08,0.89941175,1.005882498,0.05,M1: comp,0.795,1.712633,8.954439,9.440007,0.00000192,0.00003559,-0.00000254,1.381816413,0.802816393,3.66131E-07,-2.07078E-06,Alp,13,Aur,1,24549,Gl 194,139.3156803,,,
69451,69673,124897,5340,Gl 541,16Alp Boo,Arcturus,14.26103,213.91545,19.18241,11.2575,-1093.45,-1999.4,-5,-0.05,0.898736923,1.012630766,0.107,K2IIIp,1.239,-8.823448,-5.932531,3.698938,-0.00005905,0.0000322,-0.00010473,3.733529029,0.334796218,-5.3012E-06,-9.69336E-06,Alp,16,Boo,1,69451,,115.5579955,,,
118360,,,,Gl 194B,,,5.277926,79.16889,46.000842,12.9383,80.57,-422.38,33.9,0.96,0.895183668,1.048163319,0.401,G0 III,,1.689045,8.828648,9.308413,0.00000314,0.00004332,0.00000654,1.381757779,0.802866153,3.90614E-07,-2.04777E-06,,,Aur,2,24549,Gl 194,60.20048637,,,
90979,91262,172167,7001,Gl 721,3Alp Lyr,Vega,18.61564,279.2346,38.783692,7.6787,201.02,287.46,-12.1,0.03,0.892657724,1.073422757,0.604,A0Vvar,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.873563096,0.676903116,9.74572E-07,1.39365E-06,Alp,3,Lyr,1,90979,,49.93441887,,,
37718,37826,62509,2990,Gl 286,78Bet Gem,Pollux,7.755277,116.329155,28.026199,10.3584,-625.69,-45.95,3.6,1.16,0.886440254,1.135597461,1.084,K0IIIvar,0.991,-4.055465,8.19518,4.867171,0.00002624,0.00001782,-0.00000031,2.030326887,0.489149442,-3.03343E-06,-2.22772E-07,Bet,78,Gem,1,37718,,32.09223768,,,
85769,86032,159561,6556,Gl 681,55Alp Oph,Rasalhague,17.582241,263.733615,12.560035,14.8965,110.08,-222.61,12.6,2.08,0.884681705,1.153182948,1.215,A5III,0.155,-1.587067,-14.453242,3.239454,0.00000615,-0.00001685,-0.00001289,4.603020023,0.219213961,5.33683E-07,-1.07924E-06,Alp,55,Oph,1,85769,,28.44461107,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,101.287215,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,0.881402899,1.185971012,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.76779537,-0.291751259,-2.64713E-06,-5.92966E-06,Alp,9,CMa,1,32263,Gl 244,22.82443312,,-1.333,-1.523
104861,105199,203280,8162,Gl 826,5Alp Cep,Alderamin,21.30963,319.64445,62.585573,15.0376,149.91,48.27,-11.5,2.45,0.879862656,1.201373443,1.564,A7IV-V,0.257,5.276111,-4.483201,13.348778,0.00000057,0.00001386,-0.00000882,5.578848152,1.092324305,7.26784E-07,2.3402E-07,Alp,5,Cep,1,104861,,20.62528698,,,
113008,113368,216956,8728,Gl 881,24Alp PsA,Fomalhaut,22.960838,344.41257,-29.622236,7.7036,329.22,-164.22,6.1,1.17,0.877399704,1.226002957,1.737,A3V,0.145,6.450517,-1.799476,-3.807757,0.00000561,0.0000112,-0.00000841,6.011133384,-0.517005551,1.5961E-06,-7.96161E-07,Alp,24,PsA,1,113008,,17.58733354,,,
57459,57632,102647,4534,Gl 448,94Bet Leo,Denebola,11.817663,177.264945,14.57206,10.9999,-499.02,-113.78,-0.2,2.14,0.874548244,1.254517557,1.933,A3Vvar,0.09,-10.633926,0.508011,2.767546,-0.00000006,0.00002664,-0.00000592,3.093856966,0.25433043,-2.41932E-06,-5.51621E-07,Bet,94,Leo,1,57459,,14.68249968,,,
